year,region,sport,sport category,medal
1956,Russia,Cross Country Skiing,Skiing Events,
1956,Russia,Cross Country Skiing,Skiing Events,Gold
1960,Russia,Cross Country Skiing,Skiing Events,
1960,Russia,Cross Country Skiing,Skiing Events,Bronze
1960,Russia,Cross Country Skiing,Skiing Events,
1960,Russia,Cross Country Skiing,Skiing Events,Bronze
1980,Russia,Athletics,Multi-Discipline,
2004,Belarus,Weightlifting,Miscellaneous,
2014,Russia,Ice Hockey,Skating,
2002,Kazakhstan,Alpine Skiing,Skiing Events,
2002,Kazakhstan,Alpine Skiing,Skiing Events,
2006,Belarus,Ski Jumping,Skiing Events,
2006,Belarus,Ski Jumping,Skiing Events,
1964,Ukraine,Athletics,Multi-Discipline,
1964,Ukraine,Athletics,Multi-Discipline,
1968,Russia,Sailing,Water Sports,
1988,Russia,Handball,Team Sports,Bronze
1992,Russia,Handball,Team Sports,Bronze
2000,Russia,Triathlon,Multi-Discipline,
2004,Russia,Triathlon,Multi-Discipline,
1976,Russia,Athletics,Multi-Discipline,Silver
1980,Russia,Athletics,Multi-Discipline,
1976,Russia,Athletics,Multi-Discipline,
1976,Russia,Athletics,Multi-Discipline,Bronze
1980,Russia,Athletics,Multi-Discipline,
1980,Russia,Athletics,Multi-Discipline,Silver
2006,Latvia,Ice Hockey,Skating,
2010,Latvia,Ice Hockey,Skating,
1936,Estonia,Athletics,Multi-Discipline,
1988,Russia,Figure Skating,Skating,
1936,Latvia,Art Competitions,Miscellaneous,
2016,Russia,Fencing,Miscellaneous,
2016,Russia,Fencing,Miscellaneous,
1976,Russia,Athletics,Multi-Discipline,
1976,Russia,Athletics,Multi-Discipline,
1964,Russia,Diving,Aquatics,
1968,Russia,Diving,Aquatics,
1924,Lithuania,Cycling,Cycling,
1928,Lithuania,Cycling,Cycling,
2016,Russia,Canoeing,Paddling Sports,Bronze
2016,Russia,Canoeing,Paddling Sports,
1996,Uzbekistan,Canoeing,Paddling Sports,
1976,Georgia,Handball,Team Sports,Gold
1980,Georgia,Handball,Team Sports,Silver
1988,Russia,Hockey,Miscellaneous,
1992,Russia,Hockey,Miscellaneous,
1998,Kazakhstan,Ice Hockey,Skating,
2006,Kazakhstan,Ice Hockey,Skating,
1988,Russia,Luge,Sliding,
1980,Lithuania,Athletics,Multi-Discipline,
2010,Azerbaijan,Alpine Skiing,Skiing Events,
2010,Azerbaijan,Alpine Skiing,Skiing Events,
1998,Belarus,Ice Hockey,Skating,
2002,Belarus,Ice Hockey,Skating,
2010,Belarus,Ice Hockey,Skating,
1956,Russia,Rowing,Paddling Sports,
2012,Russia,Basketball,Team Sports,Bronze
2000,Ukraine,Archery,Target Sports,
2000,Ukraine,Archery,Target Sports,
2014,Russia,Luge,Sliding,
2014,Russia,Luge,Sliding,Silver
1992,Russia,Boxing,Combat Sports,
1988,Russia,Volleyball,Team Sports,Silver
2012,Russia,Water Polo,Team Sports,
2008,Russia,Athletics,Multi-Discipline,
2012,Russia,Water Polo,Team Sports,
1996,Ukraine,Athletics,Multi-Discipline,
2000,Ukraine,Athletics,Multi-Discipline,
2004,Ukraine,Athletics,Multi-Discipline,
2008,Ukraine,Athletics,Multi-Discipline,Bronze
1996,Russia,Synchronized Swimming,Aquatics,
1976,Russia,Rowing,Paddling Sports,Bronze
1998,Belarus,Cross Country Skiing,Skiing Events,
1998,Belarus,Cross Country Skiing,Skiing Events,
2012,Russia,Cycling,Cycling,
2012,Russia,Cycling,Cycling,
1992,Russia,Badminton,Racquet Sports,
1996,Russia,Badminton,Racquet Sports,
1996,Russia,Badminton,Racquet Sports,
2006,Kazakhstan,Ice Hockey,Skating,
1968,Latvia,Volleyball,Team Sports,Gold
1924,Estonia,Athletics,Multi-Discipline,
1964,Estonia,Speed Skating,Skating,Gold
1964,Estonia,Speed Skating,Skating,
1968,Estonia,Speed Skating,Skating,
2010,Ukraine,Cross Country Skiing,Skiing Events,
2010,Ukraine,Cross Country Skiing,Skiing Events,
2010,Ukraine,Cross Country Skiing,Skiing Events,
2010,Ukraine,Cross Country Skiing,Skiing Events,
2014,Ukraine,Cross Country Skiing,Skiing Events,
2014,Ukraine,Cross Country Skiing,Skiing Events,
2014,Ukraine,Cross Country Skiing,Skiing Events,
2014,Ukraine,Cross Country Skiing,Skiing Events,
2004,Russia,Athletics,Multi-Discipline,Bronze
2004,Russia,Athletics,Multi-Discipline,Silver
2012,Russia,Athletics,Multi-Discipline,Gold
2012,Russia,Athletics,Multi-Discipline,Silver
1994,Russia,Speed Skating,Skating,
1994,Russia,Speed Skating,Skating,
1994,Russia,Speed Skating,Skating,
1998,Russia,Speed Skating,Skating,
1998,Russia,Speed Skating,Skating,
2008,Belarus,Basketball,Team Sports,
1952,Russia,Athletics,Multi-Discipline,
1952,Russia,Athletics,Multi-Discipline,Bronze
2016,Russia,Canoeing,Paddling Sports,
2016,Russia,Canoeing,Paddling Sports,
1988,Ukraine,Athletics,Multi-Discipline,
2012,Russia,Volleyball,Team Sports,Gold
1988,Russia,Water Polo,Team Sports,Bronze
1992,Russia,Water Polo,Team Sports,Bronze
1996,Russia,Water Polo,Team Sports,
2004,Belarus,Boxing,Combat Sports,
1988,Russia,Canoeing,Paddling Sports,
2006,Latvia,Luge,Sliding,
1992,Latvia,Freestyle Skiing,Skiing Events,
1912,Russia,Cycling,Cycling,
1912,Russia,Cycling,Cycling,
1924,Latvia,Cycling,Cycling,
1988,Georgia,Fencing,Miscellaneous,Gold
2008,Turkmenistan,Shooting,Target Sports,
2008,Latvia,Athletics,Multi-Discipline,
2010,Kazakhstan,Freestyle Skiing,Skiing Events,
2014,Kazakhstan,Freestyle Skiing,Skiing Events,
1980,Russia,Wrestling,Combat Sports,Silver
2014,Lithuania,Cross Country Skiing,Skiing Events,
2014,Lithuania,Cross Country Skiing,Skiing Events,
2012,Latvia,Athletics,Multi-Discipline,
2016,Latvia,Athletics,Multi-Discipline,
2006,Kazakhstan,Ice Hockey,Skating,
2006,Latvia,Bobsleigh,Sliding,
2010,Latvia,Bobsleigh,Sliding,
2000,Azerbaijan,Boxing,Combat Sports,
2004,Belarus,Boxing,Combat Sports,Silver
2000,Uzbekistan,Wrestling,Combat Sports,
2008,Uzbekistan,Wrestling,Combat Sports,
1996,Uzbekistan,Athletics,Multi-Discipline,
2004,Russia,Athletics,Multi-Discipline,
1960,Russia,Athletics,Multi-Discipline,
1964,Russia,Athletics,Multi-Discipline,
1964,Russia,Athletics,Multi-Discipline,
2008,Belarus,Modern Pentathlon,Multi-Discipline,
2012,Belarus,Modern Pentathlon,Multi-Discipline,
1956,Russia,Rowing,Paddling Sports,
2002,Russia,Freestyle Skiing,Skiing Events,
2014,Russia,Curling,Skating,
2000,Russia,Basketball,Team Sports,
2004,Russia,Basketball,Team Sports,Bronze
2008,Kyrgyzstan,Athletics,Multi-Discipline,
2012,Kyrgyzstan,Athletics,Multi-Discipline,
2016,Kyrgyzstan,Athletics,Multi-Discipline,
1980,Ukraine,Athletics,Multi-Discipline,Silver
1976,Estonia,Rowing,Paddling Sports,Bronze
1988,Russia,Weightlifting,Miscellaneous,Gold
1912,Russia,Fencing,Miscellaneous,
2000,Kyrgyzstan,Judo,Combat Sports,
1992,Russia,Volleyball,Team Sports,Silver
1996,Russia,Volleyball,Team Sports,
2000,Russia,Volleyball,Team Sports,Silver
2004,Russia,Volleyball,Team Sports,Silver
2008,Russia,Volleyball,Team Sports,
2012,Russia,Volleyball,Team Sports,
2004,Kazakhstan,Boxing,Combat Sports,Gold
2008,Kazakhstan,Boxing,Combat Sports,
1992,Latvia,Bobsleigh,Sliding,
1994,Latvia,Bobsleigh,Sliding,
1988,Russia,Boxing,Combat Sports,
2000,Russia,Basketball,Team Sports,
2004,Russia,Basketball,Team Sports,Bronze
2012,Russia,Basketball,Team Sports,
2006,Russia,Cross Country Skiing,Skiing Events,
2006,Russia,Cross Country Skiing,Skiing Events,
2016,Moldova,Athletics,Multi-Discipline,
2012,Uzbekistan,Athletics,Multi-Discipline,
2012,Moldova,Swimming,Aquatics,
1998,Ukraine,Cross Country Skiing,Skiing Events,
1998,Ukraine,Cross Country Skiing,Skiing Events,
1998,Ukraine,Cross Country Skiing,Skiing Events,
1998,Ukraine,Cross Country Skiing,Skiing Events,
1998,Ukraine,Cross Country Skiing,Skiing Events,
2016,Kyrgyzstan,Weightlifting,Miscellaneous,
1960,Russia,Athletics,Multi-Discipline,
1956,Russia,Alpine Skiing,Skiing Events,
1956,Russia,Alpine Skiing,Skiing Events,
1956,Russia,Alpine Skiing,Skiing Events,
1988,Russia,Gymnastics,Gymnastics,Gold
1988,Russia,Gymnastics,Gymnastics,Gold
1988,Russia,Gymnastics,Gymnastics,Silver
1988,Russia,Gymnastics,Gymnastics,
1988,Russia,Gymnastics,Gymnastics,Gold
1988,Russia,Gymnastics,Gymnastics,Gold
1988,Russia,Gymnastics,Gymnastics,
1988,Russia,Gymnastics,Gymnastics,
1988,Russia,Athletics,Multi-Discipline,
2008,Belarus,Wrestling,Combat Sports,
1968,Russia,Nordic Combined,Skiing Events,
1972,Russia,Nordic Combined,Skiing Events,
2012,Estonia,Wrestling,Combat Sports,
2016,Estonia,Wrestling,Combat Sports,
2016,Armenia,Wrestling,Combat Sports,Silver
2008,Belarus,Weightlifting,Miscellaneous,Gold
2008,Russia,Athletics,Multi-Discipline,
1976,Russia,Basketball,Team Sports,Bronze
1996,Kazakhstan,Athletics,Multi-Discipline,
2000,Kazakhstan,Athletics,Multi-Discipline,
2012,Belarus,Athletics,Multi-Discipline,
2016,Belarus,Athletics,Multi-Discipline,
2012,Russia,Athletics,Multi-Discipline,
1968,Ukraine,Athletics,Multi-Discipline,
1972,Ukraine,Athletics,Multi-Discipline,Silver
1988,Russia,Archery,Target Sports,
1988,Russia,Archery,Target Sports,
1992,Russia,Archery,Target Sports,
1992,Russia,Archery,Target Sports,Bronze
1996,Russia,Archery,Target Sports,
2008,Lithuania,Modern Pentathlon,Multi-Discipline,
2012,Lithuania,Modern Pentathlon,Multi-Discipline,Gold
2016,Lithuania,Modern Pentathlon,Multi-Discipline,
2000,Georgia,Weightlifting,Miscellaneous,Bronze
2004,Georgia,Weightlifting,Miscellaneous,Gold
1980,Russia,Shooting,Target Sports,
1992,Russia,Shooting,Target Sports,
2016,Belarus,Boxing,Combat Sports,
2012,Uzbekistan,Athletics,Multi-Discipline,
2016,Uzbekistan,Athletics,Multi-Discipline,
1960,Georgia,Fencing,Miscellaneous,
1960,Georgia,Fencing,Miscellaneous,
1964,Georgia,Fencing,Miscellaneous,Gold
2016,Belarus,Weightlifting,Miscellaneous,
2000,Kazakhstan,Wrestling,Combat Sports,
2016,Russia,Volleyball,Team Sports,
1996,Kyrgyzstan,Swimming,Aquatics,
1996,Kyrgyzstan,Swimming,Aquatics,
1996,Kyrgyzstan,Swimming,Aquatics,
1996,Kyrgyzstan,Swimming,Aquatics,
2000,Kyrgyzstan,Swimming,Aquatics,
2000,Kyrgyzstan,Swimming,Aquatics,
2000,Kyrgyzstan,Swimming,Aquatics,
2000,Kyrgyzstan,Swimming,Aquatics,
2016,Kazakhstan,Rhythmic Gymnastics,Gymnastics,
1972,Russia,Wrestling,Combat Sports,Bronze
1976,Russia,Wrestling,Combat Sports,
2000,Kyrgyzstan,Wrestling,Combat Sports,
2012,Kyrgyzstan,Athletics,Multi-Discipline,
1976,Russia,Alpine Skiing,Skiing Events,
1976,Russia,Alpine Skiing,Skiing Events,
1976,Russia,Alpine Skiing,Skiing Events,
2004,Azerbaijan,Wrestling,Combat Sports,
2004,Azerbaijan,Boxing,Combat Sports,Bronze
2004,Azerbaijan,Wrestling,Combat Sports,
2008,Russia,Handball,Team Sports,
1924,Latvia,Football,Team Sports,
1980,Russia,Equestrianism,Equestrianism,Gold
2002,Kazakhstan,Ice Hockey,Skating,
2000,Kazakhstan,Shooting,Target Sports,
2000,Kazakhstan,Shooting,Target Sports,
1992,Russia,Shooting,Target Sports,Silver
2008,Tajikistan,Judo,Combat Sports,
2016,Uzbekistan,Wrestling,Combat Sports,
2016,Russia,Shooting,Target Sports,
1956,Ukraine,Gymnastics,Gymnastics,
1956,Ukraine,Gymnastics,Gymnastics,Gold
1956,Ukraine,Gymnastics,Gymnastics,Bronze
1956,Ukraine,Gymnastics,Gymnastics,
1956,Ukraine,Gymnastics,Gymnastics,
1956,Ukraine,Gymnastics,Gymnastics,
1956,Ukraine,Gymnastics,Gymnastics,
1960,Ukraine,Gymnastics,Gymnastics,Bronze
1960,Ukraine,Gymnastics,Gymnastics,Gold
1960,Ukraine,Gymnastics,Gymnastics,Silver
1960,Ukraine,Gymnastics,Gymnastics,
1960,Ukraine,Gymnastics,Gymnastics,Gold
1960,Ukraine,Gymnastics,Gymnastics,
1964,Ukraine,Gymnastics,Gymnastics,Bronze
1964,Ukraine,Gymnastics,Gymnastics,Gold
1964,Ukraine,Gymnastics,Gymnastics,Silver
1964,Ukraine,Gymnastics,Gymnastics,
1964,Ukraine,Gymnastics,Gymnastics,Gold
1964,Ukraine,Gymnastics,Gymnastics,
1996,Uzbekistan,Canoeing,Paddling Sports,
1996,Uzbekistan,Canoeing,Paddling Sports,
1992,Russia,Athletics,Multi-Discipline,Silver
1996,Belarus,Athletics,Multi-Discipline,
2000,Belarus,Athletics,Multi-Discipline,Bronze
2004,Belarus,Athletics,Multi-Discipline,
1976,Russia,Football,Team Sports,Bronze
2002,Latvia,Ice Hockey,Skating,
1996,Azerbaijan,Shooting,Target Sports,
1996,Azerbaijan,Shooting,Target Sports,
2000,Azerbaijan,Shooting,Target Sports,
2000,Azerbaijan,Shooting,Target Sports,
2004,Azerbaijan,Shooting,Target Sports,
2004,Azerbaijan,Shooting,Target Sports,Bronze
2012,Azerbaijan,Shooting,Target Sports,
2012,Azerbaijan,Shooting,Target Sports,
1972,Ukraine,Athletics,Multi-Discipline,
1988,Russia,Hockey,Miscellaneous,
1996,Ukraine,Swimming,Aquatics,
2004,Ukraine,Swimming,Aquatics,
1988,Russia,Handball,Team Sports,Gold
2008,Uzbekistan,Boxing,Combat Sports,
2012,Uzbekistan,Boxing,Combat Sports,Bronze
1996,Uzbekistan,Boxing,Combat Sports,
1996,Turkmenistan,Judo,Combat Sports,
2000,Turkmenistan,Judo,Combat Sports,
2016,Turkmenistan,Swimming,Aquatics,
2008,Russia,Equestrianism,Equestrianism,
1992,Russia,Athletics,Multi-Discipline,
1996,Belarus,Athletics,Multi-Discipline,
1996,Belarus,Athletics,Multi-Discipline,
2004,Estonia,Cycling,Cycling,
2012,Russia,Weightlifting,Miscellaneous,Silver
1936,Latvia,Figure Skating,Skating,
1964,Estonia,Athletics,Multi-Discipline,Silver
1968,Estonia,Athletics,Multi-Discipline,
1992,Estonia,Cycling,Cycling,
1996,Estonia,Cycling,Cycling,
2000,Estonia,Cycling,Cycling,
2000,Estonia,Cycling,Cycling,
1936,Latvia,Ice Hockey,Skating,
2016,Armenia,Boxing,Combat Sports,
1992,Estonia,Rowing,Paddling Sports,
2016,Armenia,Weightlifting,Miscellaneous,
1980,Latvia,Canoeing,Paddling Sports,
1988,Russia,Modern Pentathlon,Multi-Discipline,
1988,Russia,Modern Pentathlon,Multi-Discipline,
2008,Russia,Fencing,Miscellaneous,
2016,Russia,Fencing,Miscellaneous,
2016,Russia,Fencing,Miscellaneous,
2004,Belarus,Weightlifting,Miscellaneous,
2012,Russia,Athletics,Multi-Discipline,
1988,Ukraine,Athletics,Multi-Discipline,Gold
1988,Ukraine,Athletics,Multi-Discipline,
1998,Ukraine,Luge,Sliding,
2002,Ukraine,Luge,Sliding,
1998,Russia,Figure Skating,Skating,
2002,Russia,Figure Skating,Skating,Silver
1976,Russia,Cycling,Cycling,
2016,Azerbaijan,Cycling,Cycling,
1976,Russia,Speed Skating,Skating,Bronze
1976,Russia,Speed Skating,Skating,Gold
1976,Russia,Speed Skating,Skating,Bronze
1976,Russia,Speed Skating,Skating,Gold
1980,Russia,Speed Skating,Skating,
2004,Russia,Athletics,Multi-Discipline,
1988,Russia,Rowing,Paddling Sports,
2004,Armenia,Swimming,Aquatics,
2000,Russia,Shooting,Target Sports,
1968,Ukraine,Athletics,Multi-Discipline,
1972,Ukraine,Athletics,Multi-Discipline,Gold
1976,Ukraine,Athletics,Multi-Discipline,Bronze
1952,Russia,Shooting,Target Sports,
1952,Russia,Shooting,Target Sports,
1912,Russia,Swimming,Aquatics,
1912,Russia,Swimming,Aquatics,
2000,Russia,Basketball,Team Sports,
1988,Ukraine,Shooting,Target Sports,Bronze
1996,Ukraine,Shooting,Target Sports,
2008,Ukraine,Athletics,Multi-Discipline,
2012,Ukraine,Athletics,Multi-Discipline,
1984,Russia,Figure Skating,Skating,
1996,Armenia,Diving,Aquatics,
2000,Armenia,Diving,Aquatics,
2014,Russia,Snowboarding,Skiing Events,
2014,Russia,Ski Jumping,Skiing Events,
1996,Azerbaijan,Athletics,Multi-Discipline,
1998,Belarus,Biathlon,Skiing Events,
1998,Belarus,Biathlon,Skiing Events,Bronze
1998,Belarus,Biathlon,Skiing Events,
2002,Belarus,Biathlon,Skiing Events,
2002,Belarus,Biathlon,Skiing Events,
2002,Belarus,Biathlon,Skiing Events,
2002,Belarus,Biathlon,Skiing Events,
2016,Kazakhstan,Athletics,Multi-Discipline,
2010,Kazakhstan,Speed Skating,Skating,
2010,Kazakhstan,Speed Skating,Skating,
2010,Kazakhstan,Speed Skating,Skating,
2014,Kazakhstan,Speed Skating,Skating,
2014,Kazakhstan,Speed Skating,Skating,
2014,Kazakhstan,Speed Skating,Skating,
2008,Russia,Boxing,Combat Sports,
2012,Russia,Boxing,Combat Sports,Bronze
2012,Kazakhstan,Taekwondo,Combat Sports,
1988,Georgia,Athletics,Multi-Discipline,
1996,Georgia,Athletics,Multi-Discipline,
2008,Belarus,Tennis,Racquet Sports,
2008,Belarus,Tennis,Racquet Sports,
2012,Belarus,Tennis,Racquet Sports,Bronze
2012,Belarus,Tennis,Racquet Sports,Gold
2008,Kazakhstan,Athletics,Multi-Discipline,
2012,Kazakhstan,Athletics,Multi-Discipline,
1996,Russia,Synchronized Swimming,Aquatics,
2000,Russia,Synchronized Swimming,Aquatics,Gold
2004,Russia,Synchronized Swimming,Aquatics,Gold
1956,Armenia,Gymnastics,Gymnastics,
1956,Armenia,Gymnastics,Gymnastics,Gold
1956,Armenia,Gymnastics,Gymnastics,
1956,Armenia,Gymnastics,Gymnastics,
1956,Armenia,Gymnastics,Gymnastics,
1956,Armenia,Gymnastics,Gymnastics,
1956,Armenia,Gymnastics,Gymnastics,Gold
1956,Armenia,Gymnastics,Gymnastics,
1960,Armenia,Gymnastics,Gymnastics,
1960,Armenia,Gymnastics,Gymnastics,Silver
1960,Armenia,Gymnastics,Gymnastics,
1960,Armenia,Gymnastics,Gymnastics,
1960,Armenia,Gymnastics,Gymnastics,
1960,Armenia,Gymnastics,Gymnastics,
1960,Armenia,Gymnastics,Gymnastics,Gold
1960,Armenia,Gymnastics,Gymnastics,
1980,Armenia,Gymnastics,Gymnastics,
1980,Armenia,Gymnastics,Gymnastics,Gold
1980,Armenia,Gymnastics,Gymnastics,
1980,Armenia,Gymnastics,Gymnastics,
1980,Armenia,Gymnastics,Gymnastics,
1980,Armenia,Gymnastics,Gymnastics,
1980,Armenia,Gymnastics,Gymnastics,
1980,Armenia,Gymnastics,Gymnastics,
2014,Kazakhstan,Short Track Speed Skating,Skating,
2012,Kazakhstan,Gymnastics,Gymnastics,
2012,Kazakhstan,Gymnastics,Gymnastics,
2012,Kazakhstan,Gymnastics,Gymnastics,
2012,Kazakhstan,Gymnastics,Gymnastics,
1992,Russia,Wrestling,Combat Sports,
1996,Russia,Wrestling,Combat Sports,
1980,Russia,Hockey,Miscellaneous,Bronze
1996,Russia,Fencing,Miscellaneous,
1996,Russia,Fencing,Miscellaneous,Bronze
2000,Russia,Fencing,Miscellaneous,
2000,Russia,Fencing,Miscellaneous,Gold
2004,Russia,Fencing,Miscellaneous,Gold
2006,Armenia,Figure Skating,Skating,
1992,Russia,Athletics,Multi-Discipline,
1912,Russia,Athletics,Multi-Discipline,
1996,Ukraine,Athletics,Multi-Discipline,Bronze
2000,Ukraine,Athletics,Multi-Discipline,
2004,Ukraine,Athletics,Multi-Discipline,
2016,Turkmenistan,Judo,Combat Sports,
1964,Russia,Swimming,Aquatics,Bronze
1964,Russia,Swimming,Aquatics,Bronze
1968,Russia,Swimming,Aquatics,
1968,Russia,Swimming,Aquatics,
2012,Ukraine,Athletics,Multi-Discipline,
2016,Armenia,Shooting,Target Sports,
2016,Azerbaijan,Athletics,Multi-Discipline,
2004,Kyrgyzstan,Shooting,Target Sports,
2004,Kyrgyzstan,Shooting,Target Sports,
2004,Kyrgyzstan,Shooting,Target Sports,
2004,Uzbekistan,Canoeing,Paddling Sports,
2004,Uzbekistan,Canoeing,Paddling Sports,
2006,Kazakhstan,Speed Skating,Skating,
2010,Kazakhstan,Speed Skating,Skating,
2014,Kazakhstan,Speed Skating,Skating,
2014,Kazakhstan,Speed Skating,Skating,
2014,Kazakhstan,Speed Skating,Skating,
1956,Russia,Ice Hockey,Skating,Gold
2006,Russia,Cross Country Skiing,Skiing Events,
2006,Russia,Cross Country Skiing,Skiing Events,
2006,Russia,Cross Country Skiing,Skiing Events,
2004,Tajikistan,Shooting,Target Sports,
2008,Tajikistan,Shooting,Target Sports,
2008,Tajikistan,Shooting,Target Sports,
2012,Tajikistan,Shooting,Target Sports,
1976,Russia,Ice Hockey,Skating,Gold
2008,Latvia,Basketball,Team Sports,
1988,Russia,Diving,Aquatics,
2008,Belarus,Rhythmic Gymnastics,Gymnastics,Bronze
2016,Armenia,Boxing,Combat Sports,
1960,Russia,Rowing,Paddling Sports,Bronze
1994,Russia,Cross Country Skiing,Skiing Events,
1994,Russia,Cross Country Skiing,Skiing Events,
2002,Russia,Bobsleigh,Sliding,
1972,Russia,Athletics,Multi-Discipline,
1980,Russia,Volleyball,Team Sports,Gold
1996,Russia,Archery,Target Sports,
1996,Russia,Archery,Target Sports,
2000,Russia,Archery,Target Sports,
2000,Russia,Archery,Target Sports,
2008,Russia,Archery,Target Sports,Bronze
2008,Russia,Archery,Target Sports,
2012,Belarus,Football,Team Sports,
1996,Uzbekistan,Judo,Combat Sports,Silver
2000,Uzbekistan,Judo,Combat Sports,
2012,Lithuania,Cycling,Cycling,
1992,Lithuania,Rowing,Paddling Sports,
1996,Lithuania,Rowing,Paddling Sports,
1960,Lithuania,Rowing,Paddling Sports,Silver
1964,Lithuania,Rowing,Paddling Sports,
1968,Lithuania,Rowing,Paddling Sports,Bronze
2000,Azerbaijan,Athletics,Multi-Discipline,
1996,Belarus,Judo,Combat Sports,
2000,Belarus,Judo,Combat Sports,
2016,Azerbaijan,Boxing,Combat Sports,
2000,Kazakhstan,Judo,Combat Sports,
1952,Russia,Rowing,Paddling Sports,
1992,Russia,Athletics,Multi-Discipline,
1952,Russia,Athletics,Multi-Discipline,Silver
1996,Ukraine,Athletics,Multi-Discipline,Bronze
1964,Ukraine,Basketball,Team Sports,Silver
1964,Ukraine,Athletics,Multi-Discipline,
1988,Lithuania,Athletics,Multi-Discipline,Silver
1988,Russia,Gymnastics,Gymnastics,
1988,Russia,Gymnastics,Gymnastics,Gold
1988,Russia,Gymnastics,Gymnastics,
1988,Russia,Gymnastics,Gymnastics,
1988,Russia,Gymnastics,Gymnastics,
1988,Russia,Gymnastics,Gymnastics,
1994,Ukraine,Figure Skating,Skating,Gold
2000,Russia,Swimming,Aquatics,
2000,Russia,Swimming,Aquatics,
2000,Russia,Swimming,Aquatics,
1964,Russia,Shooting,Target Sports,
1972,Russia,Shooting,Target Sports,
1964,Russia,Athletics,Multi-Discipline,
1952,Russia,Diving,Aquatics,
2008,Kazakhstan,Wrestling,Combat Sports,
2004,Armenia,Shooting,Target Sports,
2004,Armenia,Shooting,Target Sports,
2008,Armenia,Shooting,Target Sports,
2008,Armenia,Shooting,Target Sports,
2012,Armenia,Shooting,Target Sports,
2012,Armenia,Shooting,Target Sports,
1988,Russia,Speed Skating,Skating,
1992,Russia,Speed Skating,Skating,
1994,Russia,Speed Skating,Skating,
1994,Russia,Speed Skating,Skating,
2004,Russia,Athletics,Multi-Discipline,
2012,Russia,Swimming,Aquatics,
1964,Russia,Diving,Aquatics,
1968,Russia,Diving,Aquatics,
1956,Russia,Equestrianism,Equestrianism,
1956,Russia,Equestrianism,Equestrianism,
1960,Russia,Equestrianism,Equestrianism,
1960,Russia,Equestrianism,Equestrianism,
2012,Russia,Athletics,Multi-Discipline,
1968,Russia,Wrestling,Combat Sports,Silver
2016,Russia,Volleyball,Team Sports,
2000,Belarus,Canoeing,Paddling Sports,
1996,Ukraine,Canoeing,Paddling Sports,
1996,Ukraine,Canoeing,Paddling Sports,
2000,Ukraine,Canoeing,Paddling Sports,
2000,Ukraine,Canoeing,Paddling Sports,
2004,Ukraine,Canoeing,Paddling Sports,Bronze
1996,Ukraine,Judo,Combat Sports,
2000,Ukraine,Athletics,Multi-Discipline,
